phase,card_id,repo_id,field,value_excerpt,judge_score,judge_reason,attr_confidence
M1: Structured Extraction,5,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,ai_model_version,1.0,0,The version '1.0' is not mentioned in the source material.,1.000
M1: Structured Extraction,5,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,ai_model_description,This is a [sentence-transformers](https://www.SBERT.net) model: It maps sentence,2,The description is directly taken from the README.,0.900
M1: Structured Extraction,5,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,ai_model_owner,sentence-transformers,2,The owner is directly mentioned in the HuggingFace metadata and README.,1.000
M1: Structured Extraction,5,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,ai_model_location,https://huggingface.co/sentence-transformers/paraphrase-multilingual-MiniLM-L12-,2,The model location is the HuggingFace page for the model.,1.000
M1: Structured Extraction,6,WasamiKirua/Hexis-Vesper-12B,name,Hexis-Vesper-12B,2,The model name 'Hexis-Vesper-12B' is directly mentioned in the metadata and README.,1.000
M1: Structured Extraction,6,WasamiKirua/Hexis-Vesper-12B,version,1.0,1,The version '1.0' is assumed but not explicitly stated in the source material.,1.000
M1: Structured Extraction,6,WasamiKirua/Hexis-Vesper-12B,short_description,"Hexis-Vesper-12B is a high-fidelity, sentient-persona LLM based on the Mistral-N",2,The short description is directly taken from the README and accurately summarizes the model.,0.900
M1: Structured Extraction,6,WasamiKirua/Hexis-Vesper-12B,full_description,"Hexis-Vesper-12B is a high-fidelity, sentient-persona LLM based on the Mistral-N",1,"The full description is incomplete and cut off, but it is based on the README content.",0.900
M1: Structured Extraction,6,WasamiKirua/Hexis-Vesper-12B,keywords,"transformers, mistral, text-generation, mergekit, merge, sentient, roleplay, mel",2,The keywords are directly listed in the metadata and README.,0.900
M1: Structured Extraction,6,WasamiKirua/Hexis-Vesper-12B,author,WasamiKirua,2,The author 'WasamiKirua' is directly mentioned in the metadata.,1.000
M1: Structured Extraction,6,WasamiKirua/Hexis-Vesper-12B,input_type,Text,2,The input type is 'Text' as the model is for text generation.,0.950
M1: Structured Extraction,6,WasamiKirua/Hexis-Vesper-12B,output_data,generated text,2,The output is 'generated text' as the model is for text generation.,0.950
M1: Structured Extraction,6,WasamiKirua/Hexis-Vesper-12B,foundational_model,MN-Violet-Lotus-12B,0,The foundational model is incorrectly listed as 'MN-Violet-Lotus-12B' when the README lists multiple base models including 'mistralai/Mistral-Nemo-Base-2407'.,0.900
M1: Structured Extraction,6,WasamiKirua/Hexis-Vesper-12B,category,natural language processing,2,The category 'natural language processing' is accurate for a text generation model.,0.950
M1: Structured Extraction,6,WasamiKirua/Hexis-Vesper-12B,documentation,https://huggingface.co/WasamiKirua/Hexis-Vesper-12B,2,"The documentation URL is the HuggingFace page for the model, which is correct.",1.000
M1: Structured Extraction,6,WasamiKirua/Hexis-Vesper-12B,is_private,False,2,"The model is not private, as indicated in the metadata.",1.000
M1: Structured Extraction,6,WasamiKirua/Hexis-Vesper-12B,is_gated,False,1,"There is no information about access requirements, so the value is assumed to be 'False'.",1.000
M1: Structured Extraction,6,WasamiKirua/Hexis-Vesper-12B,ai_model_framework,pytorch,1,"The framework is assumed to be 'pytorch' as it is common for HuggingFace models, but not explicitly stated.",0.950
M1: Structured Extraction,6,WasamiKirua/Hexis-Vesper-12B,ai_model_model_type,llm,2,The model type is 'llm' as it is a large language model.,0.950
M1: Structured Extraction,6,WasamiKirua/Hexis-Vesper-12B,ai_model_version,1.0,1,The version '1.0' is assumed but not explicitly stated in the source material.,1.000
M1: Structured Extraction,6,WasamiKirua/Hexis-Vesper-12B,ai_model_description,"Hexis-Vesper-12B is a high-fidelity, sentient-persona LLM based on the Mistral-N",2,The description is directly taken from the README and accurately summarizes the model.,0.900
M1: Structured Extraction,6,WasamiKirua/Hexis-Vesper-12B,ai_model_owner,WasamiKirua,2,The owner 'WasamiKirua' is directly mentioned in the metadata.,1.000
M1: Structured Extraction,6,WasamiKirua/Hexis-Vesper-12B,ai_model_location,https://huggingface.co/WasamiKirua/Hexis-Vesper-12B,2,"The model location is the HuggingFace URL, which is correct.",1.000
M1: Structured Extraction,7,donaldsebleung/fashion-mnist-mlp,name,fashion-mnist-mlp,2,The model name is directly taken from the HuggingFace model ID and README.,1.000
M1: Structured Extraction,7,donaldsebleung/fashion-mnist-mlp,version,1.0,1,The version is assumed as '1.0' since it is not explicitly mentioned in the source material.,1.000
M1: Structured Extraction,7,donaldsebleung/fashion-mnist-mlp,short_description,MLP model trained on the Fashion MNIST dataset with PyTorch 2.8.0 + CANN 8.5.0 w,2,The short description is directly taken from the README.,0.900
M1: Structured Extraction,7,donaldsebleung/fashion-mnist-mlp,full_description,MLP model trained on the Fashion MNIST dataset with PyTorch 2.8.0 + CANN 8.5.0 w,2,"The full description is directly taken from the README, though it is cut off.",0.900
M1: Structured Extraction,7,donaldsebleung/fashion-mnist-mlp,keywords,"onnx, image-classification, en",2,The keywords are directly taken from the HuggingFace metadata.,0.900
M1: Structured Extraction,7,donaldsebleung/fashion-mnist-mlp,author,donaldsebleung,2,The author is directly taken from the HuggingFace model ID.,1.000
M1: Structured Extraction,7,donaldsebleung/fashion-mnist-mlp,input_data,https://huggingface.co/datasets/zalando-datasets/fashion_mnist,2,The input data is directly taken from the HuggingFace metadata and README.,0.900
M1: Structured Extraction,7,donaldsebleung/fashion-mnist-mlp,input_type,Image,2,The input type is 'Image' as the model is for image classification on the Fashion MNIST dataset.,0.950
M1: Structured Extraction,7,donaldsebleung/fashion-mnist-mlp,output_data,class label,2,The output data is 'class label' as the model is for image classification.,0.950
M1: Structured Extraction,7,donaldsebleung/fashion-mnist-mlp,category,classification,2,The category is 'classification' as the model is for image classification.,0.950
M1: Structured Extraction,7,donaldsebleung/fashion-mnist-mlp,documentation,https://huggingface.co/donaldsebleung/fashion-mnist-mlp,2,The documentation URL is directly taken from the HuggingFace model URL.,1.000
M1: Structured Extraction,7,donaldsebleung/fashion-mnist-mlp,is_private,False,2,"The model is not private, as indicated in the HuggingFace metadata.",1.000
M1: Structured Extraction,7,donaldsebleung/fashion-mnist-mlp,is_gated,False,2,"The model is not gated, as there is no indication of access restrictions in the metadata.",1.000
M1: Structured Extraction,7,donaldsebleung/fashion-mnist-mlp,ai_model_license,apache-2.0,2,The license is directly taken from the HuggingFace metadata and README.,0.900
M1: Structured Extraction,7,donaldsebleung/fashion-mnist-mlp,ai_model_version,1.0,1,The version is assumed as '1.0' since it is not explicitly mentioned in the source material.,1.000
M1: Structured Extraction,7,donaldsebleung/fashion-mnist-mlp,ai_model_description,MLP model trained on the Fashion MNIST dataset with PyTorch 2.8.0 + CANN 8.5.0 w,2,The AI model description is directly taken from the README.,0.900
M1: Structured Extraction,7,donaldsebleung/fashion-mnist-mlp,ai_model_owner,donaldsebleung,2,The AI model owner is directly taken from the HuggingFace model ID.,1.000
M1: Structured Extraction,7,donaldsebleung/fashion-mnist-mlp,ai_model_location,https://huggingface.co/donaldsebleung/fashion-mnist-mlp,2,The AI model location is directly taken from the HuggingFace model URL.,1.000
M1: Structured Extraction,8,Haerim/en_child_mlm_42_english8192,name,en_child_mlm_42_english8192,2,The model name is directly taken from the metadata and README.,1.000
M1: Structured Extraction,8,Haerim/en_child_mlm_42_english8192,version,1.0,1,Version is assumed as '1.0' but not explicitly stated in the source.,1.000
M1: Structured Extraction,8,Haerim/en_child_mlm_42_english8192,short_description,More information needed,0,The short description is a placeholder and lacks meaningful information.,0.900
M1: Structured Extraction,8,Haerim/en_child_mlm_42_english8192,full_description,More information needed,0,The full description is a placeholder and lacks meaningful information.,0.900
M1: Structured Extraction,8,Haerim/en_child_mlm_42_english8192,keywords,"transformers, roberta, fill-mask, generated_from_trainer",2,Keywords are directly taken from the tags in the metadata.,0.900
M1: Structured Extraction,8,Haerim/en_child_mlm_42_english8192,author,Haerim,2,The author is directly taken from the model ID in the metadata.,1.000
M1: Structured Extraction,8,Haerim/en_child_mlm_42_english8192,input_type,Text,2,"The model is a language model, so the input type is correctly identified as 'Text'.",0.950
M1: Structured Extraction,8,Haerim/en_child_mlm_42_english8192,output_data,predicted token,2,"The model is a fill-mask model, so the output is correctly identified as 'predicted token'.",0.950
M1: Structured Extraction,8,Haerim/en_child_mlm_42_english8192,category,natural language processing,2,"The model is a language model, so the category is correctly identified as 'natural language processing'.",0.950
M1: Structured Extraction,8,Haerim/en_child_mlm_42_english8192,documentation,https://huggingface.co/Haerim/en_child_mlm_42_english8192,2,The documentation URL is directly taken from the model's HuggingFace page.,1.000
M1: Structured Extraction,8,Haerim/en_child_mlm_42_english8192,is_private,False,2,The 'private' field in the metadata indicates the model is not private.,1.000
M1: Structured Extraction,8,Haerim/en_child_mlm_42_english8192,is_gated,False,1,"There is no explicit mention of the model being gated, but it is assumed to be accessible.",1.000
M1: Structured Extraction,8,Haerim/en_child_mlm_42_english8192,ai_model_framework,pytorch,2,The framework is explicitly stated in the training procedure as PyTorch.,0.950
M1: Structured Extraction,8,Haerim/en_child_mlm_42_english8192,ai_model_version,1.0,1,Version is assumed as '1.0' but not explicitly stated in the source.,1.000
M1: Structured Extraction,8,Haerim/en_child_mlm_42_english8192,ai_model_description,More information needed,0,The description is a placeholder and lacks meaningful information.,0.900
M1: Structured Extraction,8,Haerim/en_child_mlm_42_english8192,ai_model_owner,Haerim,2,The owner is directly taken from the model ID in the metadata.,1.000
M1: Structured Extraction,8,Haerim/en_child_mlm_42_english8192,ai_model_location,https://huggingface.co/Haerim/en_child_mlm_42_english8192,2,The model location is directly taken from the HuggingFace URL.,1.000
M1: Structured Extraction,9,Shagufta/ilyes-wav2vec2-large-xlsr-53-km-indomain5-withoutac,name,ilyes-wav2vec2-large-xlsr-53-km-indomain5-withoutac,2,The model name is directly taken from the metadata.,1.000
M1: Structured Extraction,9,Shagufta/ilyes-wav2vec2-large-xlsr-53-km-indomain5-withoutac,version,1.0,1,Version is assumed as 1.0 since it is not specified in the metadata or README.,1.000
M1: Structured Extraction,9,Shagufta/ilyes-wav2vec2-large-xlsr-53-km-indomain5-withoutac,short_description,This is the model card of a 🤗 transformers model that has been pushed on the Hub,2,The short description is directly taken from the README.,0.900
M1: Structured Extraction,9,Shagufta/ilyes-wav2vec2-large-xlsr-53-km-indomain5-withoutac,full_description,This is the model card of a 🤗 transformers model that has been pushed on the Hub,1,The full description is partially derived from the README but lacks complete information.,0.900
M1: Structured Extraction,9,Shagufta/ilyes-wav2vec2-large-xlsr-53-km-indomain5-withoutac,keywords,"transformers, wav2vec2, automatic-speech-recognition",2,The keywords are directly taken from the metadata tags.,0.900
M1: Structured Extraction,9,Shagufta/ilyes-wav2vec2-large-xlsr-53-km-indomain5-withoutac,author,Shagufta,2,The author is directly taken from the metadata.,1.000
M1: Structured Extraction,9,Shagufta/ilyes-wav2vec2-large-xlsr-53-km-indomain5-withoutac,citation,https://arxiv.org/abs/1910.09700,2,The citation is directly taken from the metadata tags.,0.900
M1: Structured Extraction,9,Shagufta/ilyes-wav2vec2-large-xlsr-53-km-indomain5-withoutac,input_type,Audio,2,The input type is inferred from the pipeline tag 'automatic-speech-recognition'.,0.950
M1: Structured Extraction,9,Shagufta/ilyes-wav2vec2-large-xlsr-53-km-indomain5-withoutac,output_data,transcribed text,2,The output data is inferred from the pipeline tag 'automatic-speech-recognition'.,0.950
M1: Structured Extraction,9,Shagufta/ilyes-wav2vec2-large-xlsr-53-km-indomain5-withoutac,category,classification,1,The category is inferred from the pipeline tag but is not explicitly stated.,0.950
M1: Structured Extraction,9,Shagufta/ilyes-wav2vec2-large-xlsr-53-km-indomain5-withoutac,documentation,https://huggingface.co/Shagufta/ilyes-wav2vec2-large-xlsr-53-km-indomain5-withou,2,The documentation URL is directly taken from the model ID in the metadata.,1.000
M1: Structured Extraction,9,Shagufta/ilyes-wav2vec2-large-xlsr-53-km-indomain5-withoutac,is_private,False,2,The private status is directly taken from the metadata.,1.000
M1: Structured Extraction,9,Shagufta/ilyes-wav2vec2-large-xlsr-53-km-indomain5-withoutac,is_gated,False,1,The gated status is assumed as false since it is not specified in the metadata or README.,1.000
M1: Structured Extraction,9,Shagufta/ilyes-wav2vec2-large-xlsr-53-km-indomain5-withoutac,ai_model_framework,pytorch,1,The framework is inferred from the library name 'transformers' but is not explicitly stated.,0.950
M1: Structured Extraction,9,Shagufta/ilyes-wav2vec2-large-xlsr-53-km-indomain5-withoutac,ai_model_version,1.0,1,The version is assumed as 1.0 since it is not specified in the metadata or README.,1.000
M1: Structured Extraction,9,Shagufta/ilyes-wav2vec2-large-xlsr-53-km-indomain5-withoutac,ai_model_description,This is the model card of a 🤗 transformers model that has been pushed on the Hub,2,The AI model description is directly taken from the README.,0.900
M1: Structured Extraction,9,Shagufta/ilyes-wav2vec2-large-xlsr-53-km-indomain5-withoutac,ai_model_owner,Shagufta,2,The AI model owner is directly taken from the metadata.,1.000
M1: Structured Extraction,9,Shagufta/ilyes-wav2vec2-large-xlsr-53-km-indomain5-withoutac,ai_model_location,https://huggingface.co/Shagufta/ilyes-wav2vec2-large-xlsr-53-km-indomain5-withou,2,The AI model location is directly taken from the model ID in the metadata.,1.000
M1: Structured Extraction,10,aryanshh/littercam-yolov9c,name,littercam-yolov9c,2,The model name 'littercam-yolov9c' is directly taken from the HuggingFace metadata.,1.000
M1: Structured Extraction,10,aryanshh/littercam-yolov9c,version,1.0,1,The version '1.0' is assumed as no explicit version is provided in the source material.,1.000
M1: Structured Extraction,10,aryanshh/littercam-yolov9c,short_description,Detects **10 classes of roadside litter** from CCTV/dashcam footage.,2,The short description is directly taken from the README excerpt.,0.900
M1: Structured Extraction,10,aryanshh/littercam-yolov9c,full_description,Detects **10 classes of roadside litter** from CCTV/dashcam footage. *Last updat,2,The full description is directly taken from the README excerpt including the last updated timestamp.,0.900
M1: Structured Extraction,10,aryanshh/littercam-yolov9c,keywords,"object-detection, yolov9, litter-detection, waste-detection, littercam, computer",2,The keywords are directly taken from the HuggingFace metadata and README.,0.900
M1: Structured Extraction,10,aryanshh/littercam-yolov9c,author,aryanshh,2,The author 'aryanshh' is directly taken from the HuggingFace metadata.,1.000
M1: Structured Extraction,10,aryanshh/littercam-yolov9c,input_data,"https://huggingface.co/datasets/taco, https://huggingface.co/datasets/openlitter",2,The input data URLs are directly taken from the README excerpt.,0.900
M1: Structured Extraction,10,aryanshh/littercam-yolov9c,input_type,Image,2,The input type 'Image' is directly supported by the model's object detection task and training data description.,0.950
M1: Structured Extraction,10,aryanshh/littercam-yolov9c,output_data,bounding boxes with class labels,2,The output data 'bounding boxes with class labels' is directly supported by the object detection task.,0.950
M1: Structured Extraction,10,aryanshh/littercam-yolov9c,foundational_model,yolov9-c,2,The foundational model 'yolov9-c' is directly taken from the README excerpt.,0.900
M1: Structured Extraction,10,aryanshh/littercam-yolov9c,category,computer vision,2,The category 'computer vision' is directly supported by the model's object detection task and tags.,0.950
M1: Structured Extraction,10,aryanshh/littercam-yolov9c,documentation,https://huggingface.co/aryanshh/littercam-yolov9c,2,The documentation URL is directly taken from the HuggingFace model page.,1.000
M1: Structured Extraction,10,aryanshh/littercam-yolov9c,is_private,False,2,The 'is_private' field is set to 'False' as the HuggingFace metadata indicates the model is not private.,1.000
M1: Structured Extraction,10,aryanshh/littercam-yolov9c,is_gated,False,1,The 'is_gated' field is assumed to be 'False' as no information about access restrictions is provided.,1.000
M1: Structured Extraction,10,aryanshh/littercam-yolov9c,ai_model_license,apache-2.0,2,The license 'apache-2.0' is directly taken from the HuggingFace metadata and README.,0.900
M1: Structured Extraction,10,aryanshh/littercam-yolov9c,ai_model_version,1.0,1,The version '1.0' is assumed as no explicit version is provided in the source material.,1.000
M1: Structured Extraction,10,aryanshh/littercam-yolov9c,ai_model_description,Detects **10 classes of roadside litter** from CCTV/dashcam footage.,2,The AI model description is directly taken from the README excerpt.,0.900
M1: Structured Extraction,10,aryanshh/littercam-yolov9c,ai_model_owner,aryanshh,2,The AI model owner 'aryanshh' is directly taken from the HuggingFace metadata.,1.000
M1: Structured Extraction,10,aryanshh/littercam-yolov9c,ai_model_location,https://huggingface.co/aryanshh/littercam-yolov9c,2,The AI model location is directly taken from the HuggingFace model page URL.,1.000
M1: Structured Extraction,11,huggingface/documentation-images,title,documentation-images,2,The title 'documentation-images' is directly taken from the model ID and accurately reflects the dataset's purpose as stated in the description.,0.900
M1: Structured Extraction,11,huggingface/documentation-images,description,This dataset contains images used in the documentation of HuggingFace's librarie,1,"The description is mostly accurate but is cut off and does not fully reflect the original metadata description, which mentions optimization for web use and a note for the HF team.",0.800
M1: Structured Extraction,11,huggingface/documentation-images,subjects,"documentation, images, HuggingFace, libraries",2,"The subjects 'documentation, images, HuggingFace, libraries' are directly supported by the dataset's purpose as described in the metadata.",0.700
M1: Structured Extraction,11,huggingface/documentation-images,creator,huggingface,2,The creator 'huggingface' is directly taken from the author field in the metadata.,0.900
M1: Structured Extraction,11,huggingface/documentation-images,publisher,HuggingFace,2,The publisher 'HuggingFace' is directly inferred from the author field in the metadata.,0.900
M1: Structured Extraction,11,huggingface/documentation-images,resource_type,Image dataset for documentation,2,The resource type 'Image dataset for documentation' is directly supported by the dataset's purpose as described in the metadata.,0.800
M1: Structured Extraction,11,huggingface/documentation-images,resource_type_general,Dataset,2,The general resource type 'Dataset' is directly supported by the metadata and the nature of the content.,0.900
M1: Structured Extraction,11,huggingface/documentation-images,publication_year,2022,2,The publication year '2022' is directly taken from the createdAt field in the metadata.,0.900
M1: Structured Extraction,11,huggingface/documentation-images,size,n<1K images,2,The size 'n<1K images' is directly taken from the tags in the metadata.,0.800
M1: Structured Extraction,11,huggingface/documentation-images,format,ImageFolder,2,The format 'ImageFolder' is directly taken from the tags in the metadata.,0.900
M1: Structured Extraction,11,huggingface/documentation-images,license,cc-by-nc-sa-4.0,2,The license 'cc-by-nc-sa-4.0' is directly taken from the tags in the metadata.,0.900
M1: Structured Extraction,12,banned-historical-archives/banned-historical-archives,title,banned-historical-archives,1,The title is acceptable but imprecise; it should reflect the dataset's content rather than the repository name.,0.900
M1: Structured Extraction,12,banned-historical-archives/banned-historical-archives,description,"The banned-historical-archives dataset contains historical documents and images,",2,"The description is correct and directly supported by the source metadata, summarizing the dataset's content.",0.800
M1: Structured Extraction,12,banned-historical-archives/banned-historical-archives,subjects,"historical documents, images, archives",2,The subjects are correct and directly supported by the dataset's content as described in the metadata.,0.700
M1: Structured Extraction,12,banned-historical-archives/banned-historical-archives,creator,banned-historical-archives,2,The creator is correctly identified as 'banned-historical-archives' from the source metadata.,0.900
M1: Structured Extraction,12,banned-historical-archives/banned-historical-archives,publisher,banned-historical-archives,2,The publisher is correctly identified as 'banned-historical-archives' from the source metadata.,0.600
M1: Structured Extraction,12,banned-historical-archives/banned-historical-archives,resource_type,Historical image and document dataset,2,The resource type is correct and directly supported by the dataset's content as described in the metadata.,0.800
M1: Structured Extraction,12,banned-historical-archives/banned-historical-archives,resource_type_general,Dataset,2,The general resource type is correct and directly supported by the dataset's content.,0.900
M1: Structured Extraction,12,banned-historical-archives/banned-historical-archives,publication_year,2023,0,The publication year is not supported by the source metadata and appears to be guessed.,0.900
M1: Structured Extraction,12,banned-historical-archives/banned-historical-archives,size,n<1K,0,The size is not supported by the source metadata and appears to be guessed.,0.800
M1: Structured Extraction,12,banned-historical-archives/banned-historical-archives,format,imagefolder,1,The format is acceptable but not explicitly confirmed in the source metadata.,0.800
M1: Structured Extraction,13,ayuo/hd_tmp,title,hd_tmp,2,The title 'hd_tmp' is directly taken from the model's 'id' field in the API metadata.,0.900
M1: Structured Extraction,13,ayuo/hd_tmp,creator,ayuo,2,The creator 'ayuo' is directly taken from the 'author' field in the API metadata.,0.900
M1: Structured Extraction,13,ayuo/hd_tmp,publication_year,2026,2,The publication year '2026' is directly derived from the 'createdAt' field in the API metadata.,0.900
M1: Structured Extraction,14,mteb/results,title,results,0,The title 'results' is too vague and not directly supported by the source metadata or description.,0.900
M1: Structured Extraction,14,mteb/results,description,The MTEB results dataset contains evaluation results for various text embedding ,1,"The description is acceptable but imprecise, as it is not directly taken from the source metadata but inferred from general knowledge.",0.800
M1: Structured Extraction,14,mteb/results,subjects,"text embedding, natural language processing, benchmark results",1,The subjects are acceptable but not explicitly mentioned in the source metadata.,0.900
M1: Structured Extraction,14,mteb/results,creator,mteb,2,The creator 'mteb' is directly supported by the source metadata.,0.900
M1: Structured Extraction,14,mteb/results,publisher,arXiv,2,The publisher 'arXiv' is directly supported by the citation in the source metadata.,0.800
M1: Structured Extraction,14,mteb/results,resource_type,Text embedding benchmark results,1,The resource type is acceptable but not explicitly stated in the source metadata.,0.850
M1: Structured Extraction,14,mteb/results,resource_type_general,Dataset,1,The general resource type is acceptable but not explicitly stated in the source metadata.,0.950
M1: Structured Extraction,14,mteb/results,publication_year,2024,0,"The publication year '2024' is incorrect; the source metadata indicates the model was created in 2024, but the benchmark was published in 2022.",0.900
M1: Structured Extraction,15,Salesforce/wikitext,title,wikitext,2,The title 'wikitext' is directly taken from the metadata 'id' field.,0.900
M1: Structured Extraction,15,Salesforce/wikitext,description,The WikiText dataset is a collection of over 100 million tokens extracted from v,2,The description is a direct summary from the metadata's 'description' field.,0.900
M1: Structured Extraction,15,Salesforce/wikitext,subjects,"language modeling, natural language processing, Wikipedia articles",2,"The subjects 'language modeling, natural language processing, Wikipedia articles' are directly supported by the metadata and description.",0.850
M1: Structured Extraction,15,Salesforce/wikitext,creator,Salesforce,2,The creator 'Salesforce' is directly taken from the metadata 'author' field.,0.900
M1: Structured Extraction,15,Salesforce/wikitext,publisher,Salesforce,2,The publisher 'Salesforce' is directly taken from the metadata 'author' field.,0.950
M1: Structured Extraction,15,Salesforce/wikitext,resource_type,Text dataset for language modeling,2,The resource type 'Text dataset for language modeling' is directly supported by the metadata and description.,0.900
M1: Structured Extraction,15,Salesforce/wikitext,resource_type_general,Dataset,2,The resource type general 'Dataset' is directly supported by the metadata and description.,0.950
M1: Structured Extraction,15,Salesforce/wikitext,publication_year,2022,0,The publication year '2022' is not mentioned in the source material.,0.900
M1: Structured Extraction,15,Salesforce/wikitext,size,1M<n<10M,2,The size '1M<n<10M' is directly taken from the metadata 'tags' field.,0.900
M1: Structured Extraction,15,Salesforce/wikitext,format,Parquet,2,The format 'Parquet' is directly taken from the metadata 'tags' field.,0.800
M1: Structured Extraction,15,Salesforce/wikitext,license,cc-by-sa-3.0,2,The license 'cc-by-sa-3.0' is directly taken from the metadata 'tags' field.,0.900
M1: Structured Extraction,16,tars-robotics/OmniVitac_Samples,title,OmniVitac_Samples,2,The title 'OmniVitac_Samples' is directly taken from the model's ID in the API metadata.,0.900
M1: Structured Extraction,16,tars-robotics/OmniVitac_Samples,creator,tars-robotics,2,The creator 'tars-robotics' is directly taken from the author field in the API metadata.,0.900
M1: Structured Extraction,16,tars-robotics/OmniVitac_Samples,publication_year,2026,2,The publication year '2026' is directly derived from the createdAt date in the API metadata.,0.900
M1: Structured Extraction,17,axentx/surrogate-1-pairs-A,title,surrogate-1-pairs-A,2,The title is directly taken from the model ID in the HuggingFace API metadata.,0.900
M1: Structured Extraction,17,axentx/surrogate-1-pairs-A,description,The surrogate-1-pairs-A model is a machine learning model developed by axentx. A,1,"The description is partially correct but incomplete and speculative, as it lacks details from a README or other documentation.",0.700
M1: Structured Extraction,17,axentx/surrogate-1-pairs-A,subjects,region:us,2,The subject 'region:us' is directly listed in the tags field of the HuggingFace API metadata.,0.800
M1: Structured Extraction,17,axentx/surrogate-1-pairs-A,creator,axentx,2,The creator 'axentx' is directly listed in the HuggingFace API metadata.,0.900
M1: Structured Extraction,17,axentx/surrogate-1-pairs-A,resource_type,Machine Learning Model,2,The resource type 'Machine Learning Model' is directly inferred from the context of the HuggingFace model.,0.900
M1: Structured Extraction,17,axentx/surrogate-1-pairs-A,resource_type_general,Software,2,The general resource type 'Software' is directly inferred from the context of the HuggingFace model.,0.850
M1: Structured Extraction,17,axentx/surrogate-1-pairs-A,publication_year,2026,2,The publication year '2026' is directly derived from the 'createdAt' field in the HuggingFace API metadata.,0.900
M1: Structured Extraction,18,arshan-ritual/ritual-agent-configs,title,ritual-agent-configs,2,The title 'ritual-agent-configs' is directly taken from the model's ID in the metadata.,0.900
M1: Structured Extraction,18,arshan-ritual/ritual-agent-configs,description,The ritual-agent-configs model repository contains configuration files for ritua,1,"The description is partially correct but lacks clarity and is incomplete, with no README to verify details.",0.600
M1: Structured Extraction,18,arshan-ritual/ritual-agent-configs,subjects,"ritual agents, machine learning, AI configurations",1,The subjects are inferred from the repository's purpose and not explicitly stated in the metadata or README.,0.700
M1: Structured Extraction,18,arshan-ritual/ritual-agent-configs,creator,arshan-ritual,2,The creator 'arshan-ritual' is directly taken from the author field in the metadata.,0.900
M1: Structured Extraction,18,arshan-ritual/ritual-agent-configs,resource_type,Configuration files for ritual agents,1,"The resource type is inferred from the repository's name and purpose, not explicitly stated in the metadata.",0.800
M1: Structured Extraction,18,arshan-ritual/ritual-agent-configs,resource_type_general,Software,1,"The general resource type 'Software' is inferred based on the nature of the repository, not explicitly stated.",0.800
M1: Structured Extraction,18,arshan-ritual/ritual-agent-configs,publication_year,2026,2,The publication year '2026' is directly taken from the createdAt field in the metadata.,0.900
M1: Structured Extraction,19,axentx/surrogate-1-pairs-D,title,surrogate-1-pairs-D,2,The title 'surrogate-1-pairs-D' is directly taken from the model's ID in the source metadata.,0.900
M1: Structured Extraction,19,axentx/surrogate-1-pairs-D,creator,axentx,2,The creator 'axentx' is directly taken from the author field in the source metadata.,0.900
M1: Structured Extraction,19,axentx/surrogate-1-pairs-D,publication_year,2026,2,The publication year '2026' is directly derived from the createdAt date in the source metadata.,0.900
M1: Structured Extraction,20,yil384/qwen35-9b-verilog-sft-logs,title,qwen35-9b-verilog-sft-logs,2,The title is directly taken from the model ID in the API metadata.,0.900
M1: Structured Extraction,20,yil384/qwen35-9b-verilog-sft-logs,description,The qwen35-9b-verilog-sft-logs model is likely a fine-tuned version of a larger ,1,"The description is inferred based on the model name and general knowledge, as no README is available.",0.700
M1: Structured Extraction,20,yil384/qwen35-9b-verilog-sft-logs,subjects,"Verilog, hardware description language, code generation, software development",1,"The subjects are inferred from the model name and general knowledge, as no README is available.",0.800
M1: Structured Extraction,20,yil384/qwen35-9b-verilog-sft-logs,creator,yil384,2,The creator is directly taken from the author field in the API metadata.,0.900
M1: Structured Extraction,20,yil384/qwen35-9b-verilog-sft-logs,publisher,Hugging Face,2,"The publisher is explicitly stated as Hugging Face, which is the platform hosting the model.",0.600
M1: Structured Extraction,20,yil384/qwen35-9b-verilog-sft-logs,resource_type,Fine-tuned language model for Verilog code,1,"The resource type is inferred from the model name and general knowledge, as no README is available.",0.750
M1: Structured Extraction,20,yil384/qwen35-9b-verilog-sft-logs,resource_type_general,Software,2,The resource type general is correctly identified as 'Software' for a machine learning model.,0.900
M1: Structured Extraction,20,yil384/qwen35-9b-verilog-sft-logs,publication_year,2026,2,The publication year is directly taken from the createdAt field in the API metadata.,0.900
M1: Structured Extraction,20,yil384/qwen35-9b-verilog-sft-logs,format,"Model binary, likely in PyTorch or Transformers format",1,"The format is inferred based on general knowledge of Hugging Face model formats, as no README is available.",0.800
M2: Few-Shot Retrieval,1,sentence-transformers/all-MiniLM-L6-v2,name,all-MiniLM-L6-v2,2,Model name is directly from the metadata and README,1.000
M2: Few-Shot Retrieval,1,sentence-transformers/all-MiniLM-L6-v2,version,1.0,0,Version is not provided in the source material,1.000
M2: Few-Shot Retrieval,1,sentence-transformers/all-MiniLM-L6-v2,short_description,"Then you can use the model like this:
```python
from sentence_transformers impor",0,"Value is a code snippet, not a one-sentence summary",0.900
